Product,WF,MD,RD,P
Eggplant,120,4,2,0.89
Cereals,1349,4,2,3.20
Coffee,6308,4,3,15.00
Pasta,616,4,1,5.00
Lettuce,79,4,1,2.00
Bell Pepper,126,4,2,2.00
Rice,558,4,1,23.00
Tomatoes,71,4,2,1.00
Bread,536,4,1,5.00
Butter,1851,4,2,2.00
Cheese,1059,4,3,10.00
Chicken,112,4,1,2.00
Beef,2492,4,1,5.00
Eggs,1088,4,1,2.00
Milk,340,4,1,4.50
Batteries,9400,3,2,20.00
Toilet Paper,140,2,1,0.85
Tylenol,200,1,1,4.00
Hand Sanitizer,84,1,1,4.00
Soap,5,1,1,2.00
Thermometer,1320,1,1,10.00
Face Mask,5200,1,1,2.00
Gloves,9220,1,1,10.98
Eggplant,120,4,2,0.89
